Code	max_depth	test_score
330590	1	0.9763547473661232
000400	5	0.9854208882114349
023530	9	0.9947082792218319
004000	2	0.9691580658366903
286940	2	0.9657329308606974
280360	2	0.9824858473130432
00499K	1	0.924245013110522
004990	2	0.982842542681652
005305	3	0.9614051273518196
005300	2	0.9836611224523657
011170	1	0.9717612169883174
002270	2	0.9942740272559352
071840	4	0.9896862159842931
027740	2	0.8735308635896964
204320	4	0.9889733535126723
001080	2	0.9648602299070559
088980	2	0.9910169161196362
138040	2	0.9831055511127345
008560	3	0.9754272792065066
000060	2	0.9824626243392232
090370	2	0.9920730202821183
017180	1	0.9323930776595024
009900	1	0.94927113463511
012690	2	0.9651479772705691
005360	4	0.9713896778816195
204210	1	0.9842641296280491
009680	1	0.9646437643660499
009200	8	0.9784044664645201
009580	3	0.9904093498273792
033920	3	0.9924743097960058
008420	4	0.9750270899871
025560	9	0.9877327732852563
007120	1	0.9622786062983906
357250	2	0.9444816775582094
094800	16	0.9828279479205624
085620	2	0.980398752881517
006805	6	0.9818010056643931
00680K	1	0.9802676713802134
006800	1	0.9757012061687366
002840	3	0.9974415118452334
268280	4	0.9943954304492467
107590	3	0.9880556032449488
134380	2	0.9916741784725559
003650	2	0.9832080395059553
155900	4	0.9905510428442292
003610	2	0.9718281273969033
001340	2	0.9809443685601771
035150	2	0.9765968934762574
002410	1	0.9894710843224044
007210	2	0.973123626730601
002760	1	0.932490477413586
003850	3	0.9898090501299854
000890	3	0.9636683749797258
003000	3	0.9788479307385242
001275	2	0.9709482061328095
001270	2	0.9755971718295681
026940	3	0.9556710335278723
015350	2	0.9903552833023996
011390	1	0.9392799669460143
005030	6	0.9777337302328755
002070	4	0.9826184344509117
100220	2	0.9447476043084205
030790	10	0.993350997331181
005180	8	0.9651467518416557
003960	3	0.9861262203010986
008040	1	0.9699146862078859
007160	1	0.9890165670946258
014710	2	0.9690224530598828
006090	2	0.939229365270879
001470	11	0.9924765395549138
006405	9	0.9938839701371672
006400	2	0.9950370742427164
006660	3	0.9916766572226907
02826K	1	0.9846930536316184
028260	2	0.9685481011887747
207940	3	0.9941571143575592
032830	2	0.9901310078245884
018260	2	0.971883494778943
028050	1	0.9808218053356749
009155	2	0.9929513056369459
009150	16	0.9837169788336335
005935	3	0.9958475825513925
005930	2	0.9925821564197289
001360	4	0.9807446489419189
010145	6	0.9836911293425202
010140	2	0.9780152305789866
016360	2	0.9740480839539606
068290	3	0.9712207940371037
029780	4	0.9521788886588355
000815	5	0.98931103125716
000810	2	0.9896886621875806
006110	2	0.9823471256567698
145995	2	0.9357746727040098
145990	2	0.9755211938815781
003230	2	0.9836101743305696
002170	1	0.9832814759047179
272550	2	0.9825461742898349
000075	4	0.9661088629401403
000070	2	0.9831433795858149
002810	1	0.9523922030538905
005680	2	0.988403494359792
003720	2	0.9931800635860755
023000	2	0.9690270823105559
004380	2	0.9432599940536567
002450	1	0.9691372562122298
004440	9	0.9830908242827526
000520	3	0.9588181508159079
009770	1	0.9715238485547116
005500	2	0.9914040968745216
004690	2	0.9820842600997755
010960	1	0.960215136094988
004450	1	0.9666425473256601
009470	3	0.9791326571062559
011230	3	0.9748125981076697
001820	2	0.9675944150442098
000390	2	0.985616025870265
001290	4	0.9909347795382991
041650	3	0.9850519124886931
075180	2	0.9829421109154851
007540	2	0.9644303321214138
248170	3	0.9874031664940797
007860	2	0.986205264696007
200880	3	0.9796062229290738
017390	3	0.9671076745851581
004415	2	0.8745214637710808
004410	1	0.9680650296951401
021050	2	0.9894639099687802
008490	3	0.9950233935875124
007610	4	0.977474809800311
002820	12	0.9815109379700064
136490	3	0.9735742558075141
014915	1	0.9411088612208559
014910	3	0.9693314412242755
003080	4	0.9696896009196313
004985	2	0.9287309256992339
004980	1	0.9692825408473844
011300	2	0.9462609086006342
000180	4	0.9867029117342972
002420	1	0.9426824917657238
004365	12	0.9570037035531174
004360	2	0.9751040387171959
004490	7	0.987093024655031
001430	3	0.9884785295250156
306200	2	0.9853882710767972
003030	4	0.9846956288463196
019440	3	0.9795989915604311
058650	2	0.9893776618124944
013000	1	0.9687118536151866
091090	2	0.9760550536329992
021820	7	0.9621155346037888
067830	2	0.9890999328378648
033530	2	0.9777239847936895
075580	2	0.9813856499790787
027970	2	0.9780016723153256
308170	1	0.9032151594157606
012600	2	0.9824557515398589
068270	3	0.9818116113838293
33637K	1	0.9789637082084284
33637L	2	0.9336060254069466
336370	2	0.9847090203911045
248070	6	0.7032399303939175
004430	1	0.9774911113094049
017550	5	0.9824851659005163
134790	2	0.981290912613618
016590	2	0.9763859647981685
029530	2	0.9952488903941177
004970	2	0.9891529565964693
011930	2	0.9885382150411268
005390	2	0.9729035329948705
034300	3	0.9807464317460913
004170	2	0.9612171537479002
035510	2	0.9675558347781164
031430	2	0.9770418163991843
031440	2	0.9928051785030516
006880	2	0.9672348328819216
005800	3	0.9851670123480918
001725	6	0.984736522913873
001720	2	0.9824208048729832
009275	2	0.8790713202416072
009270	1	0.9483388913409737
002700	4	0.9737763108820127
019175	4	0.9715046819627571
019170	3	0.9790644551920057
002870	1	0.9792502392445812
055550	1	0.98808439292134
293940	2	0.9883168508210162
004080	2	0.9654211420915778
102280	1	0.8903630223154444
003410	1	0.9611895933933347
003620	3	0.9794472323455613
004770	2	0.9653681408438223
015540	2	0.8909899590806653
004920	1	0.9677325206094729
112610	4	0.9956375356561227
000120	1	0.9426339715729748
079160	3	0.9865395140255476
097955	2	0.991047925700086
097950	2	0.9850809558937363
008700	2	0.9665343126774834
002795	2	0.9816501320339982
00279K	1	0.9804255082911371
002790	1	0.9735909474517159
090435	3	0.9826244941251454
090430	1	0.9779910744282804
002030	3	0.9897286971099137
183190	2	0.9883770450047149
002310	3	0.9821266442621848
012170	18	0.9913292537160578
267850	1	0.9278667017434823
020560	2	0.9262528025752573
122900	2	0.9586156205016028
010780	3	0.9893500121194697
001780	5	0.9806571204534056
018250	2	0.9928534090461093
161000	2	0.9774739472566694
011090	3	0.9845635131054855
137310	1	-1.1655039368482738
034120	2	0.987254895056228
005850	6	0.988479011324072
012750	1	0.9659171897188976
004060	1	0.9529665731159285
006125	1	0.9879917453267988
006120	2	0.9884949714540078
068400	2	0.9593958474743762
302440	3	0.7437426109501737
326030	2	0.9805386513234631
000660	2	0.985430338400356
023960	1	0.9791354022642355
298690	10	0.9714728146550344
078520	18	0.9710361813504397
015260	2	0.9897496521164565
140910	2	0.9816770675310087
039570	1	0.9764104953777417
089470	3	0.9790747175668649
082740	2	0.9828782487227626
011200	10	0.9967237644626888
007460	7	0.9889339773519112
003060	2	0.9861472524303553
